,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pisco,-13.7,-76.22,287.15,93,36,0.5,PE,1600164636
1,Chui,-33.7,-53.46,279.22,78,56,0.88,UY,1600164637
2,New Norfolk,-42.78,147.06,285.93,61,94,3.13,AU,1600164637
3,Puerto Ayora,-0.74,-90.35,292.04,94,99,1.34,EC,1600164638
